Acipenser gueldenstaedtii
Alaria esculenta
Alle alle
Anadara antiquata
Anguilla anguilla
Ascophyllum nodosum
Caulerpa lentillifera
Cerastoderma edule
Chlorella pyrenoidosa
Chlorella vulgaris
Chondrus crispus
Chondrus ocellatus
Clarias gariepinus
Clupea harengus
Crangon crangon
Crassostrea gigas
Dicentrarchus labrax
Dosidicus gigas
Dunaliella salina
Engraulis anchoita
Engraulis encrasicolus
Engraulis ringens
Engraulis spp
Ensis directus
Euthynnus spp
Fucus vesiculosus
Gadus macrocephalus
Gadus morhua
Gelidium spp
Gracilaria verrucosa
Haematococcus pluvialis
Himanthalia elongata
Homarus americanus
Homarus spp
Illex argentinus
Illex spp
Katsuwonus pelamis
Laminaria digitata
Laminaria japonica
Lates niloticus
Lepidopsetta bilineata
Lepidotrigla microptera
Lethrinus spp
Limanda limanda
Lithodes santolla
Litopenaeus vannamei
Loligo edulis
Loligo spp
Loligo vulgaris
Lophius piscatorius
Macrocystis pyrifera
Macruronus magellanicus
Macruronus novaezelandiae
Melanogrammus aeglefinus
Merlangius merlangus
Merluccius capensis
Merluccius merluccius
Merluccius productus
Metapenaeus monoceros
Metapenaeus spp
Micromesistius australis
Mulinia spp
Mytilus chilensis
Mytilus edulis
Mytilus galloprovincialis
Mytilus spp
Nelumbo nucifera
Nemipterus hexodon
Nemipterus spp
Nephrops norvegicus
Octopus vulgaris
Oncorhynchus gorbuscha
Oncorhynchus keta
Oncorhynchus kisutch
Oncorhynchus mykiss
Oncorhynchus nerka
Oncorhynchus spp
Oreochromis niloticus
Ostrea edulis
Ovalipes punctatus
Pacifische kabeljauw
Pagellus bogaraveo
Palmaria palmata
Pandalus borealis
Pandalus jordani
Pangasius pangasius
Pangasius spp
Paphia undulata
Paralomis granulosa
Parapenaeopsis stylifera
Patinopecten yessoensis
Pecten maximus
Pelvetia canaliculata
Penaeidae
Penaeus merguiensis
Penaeus monodon
Penaeus spp
Penaeus vannamei
Perna canaliculus
Phymatolithon calcareum
Placopecten magellanicus
Pleoticus muelleri
Pleuronectes platessa
Pollachius virens
Porphyra tenera
Porphyra umbilicalis
Portunus pelagicus
Procambarus clarkii
Psetta maxima
Reinhardtius hippoglossoides
Saccharina latissima
Salmo salar
Sardina pilchardus
Sardinella gibbosa
Scomber japonicus
Scomber scombrus
Sebastes marinus
Sepia officinalis
Sepiella japonica
Solea solea
Sparus aurata
Spirulina platensis
Sprattus sprattus
Stolephorus spp
Thunnus alalunga
Thunnus albacares
Todarodes pacificus
Trachurus murphyi
Trichiurus lepturus
Ulva lactuca
Undaria pinnatifida
Xiphias gladius
Xiphopenaeus kroyeri
Zeus faber
Zygochlamys patagonica
